seed,model,kernel,pca_components,C,gamma,inner_cv_f1_mean,inner_cv_f1_std,inner_cv_accuracy_mean,inner_cv_accuracy_std,inner_cv_roc_auc_mean,inner_cv_roc_auc_std,n_folds
123,RBF SVM — PCA 2,rbf,2,1.0,scale,0.9047650143973673,0.039667693545253305,0.9318681318681319,0.027362416698876367,0.9810113519091848,0.016517510645736325,5
123,RBF SVM — PCA 2,rbf,2,1.0,auto,0.9225816450475763,0.0526369848247951,0.9428571428571428,0.03677626490259675,0.9648090815273477,0.029433030531903697,5
123,RBF SVM — PCA 2,rbf,2,1.0,0.01,0.9079380913204442,0.05601625333746071,0.9340659340659341,0.03885202094431579,0.985655314757482,0.012625565995674453,5
123,RBF SVM — PCA 2,rbf,2,1.0,0.1,0.9083020516148356,0.05433965018107072,0.9340659340659341,0.03806705071579951,0.977296181630547,0.018493251741442143,5
123,RBF SVM — PCA 2,rbf,2,1.0,1.0,0.923310415075121,0.04183720362524123,0.9428571428571428,0.02948661069230496,0.9682146542827658,0.020596574891726428,5
123,RBF SVM — PCA 2,rbf,2,10.0,scale,0.9142499925627765,0.056118658401474855,0.9384615384615385,0.039315480923073215,0.9756449948400412,0.02049874376631829,5
123,RBF SVM — PCA 2,rbf,2,10.0,auto,0.913952494168648,0.06313774744088906,0.9384615384615385,0.04155531956305284,0.9509803921568627,0.01935156511104143,5
123,RBF SVM — PCA 2,rbf,2,10.0,0.01,0.9154761026881403,0.05266756683872753,0.9384615384615385,0.03853995146538501,0.9858617131062951,0.01253668226029153,5
123,RBF SVM — PCA 2,rbf,2,10.0,0.1,0.9273173203607987,0.05665983013146945,0.9472527472527472,0.03992505961447243,0.9662538699690403,0.026656568488690146,5
123,RBF SVM — PCA 2,rbf,2,10.0,1.0,0.9017526239545013,0.058585076248133076,0.9296703296703297,0.03853995146538501,0.9464396284829721,0.01783510453359843,5
123,RBF SVM — PCA 2,rbf,2,100.0,scale,0.9240322596503647,0.0627683756327815,0.945054945054945,0.04326377952753741,0.9603715170278637,0.03919429376859675,5
123,RBF SVM — PCA 2,rbf,2,100.0,auto,0.8926930375127717,0.055330678577577945,0.9230769230769231,0.03644642626764177,0.9280701754385964,0.030956742199728753,5
123,RBF SVM — PCA 2,rbf,2,100.0,0.01,0.9246335062298723,0.04702711873054837,0.945054945054945,0.033870406609719676,0.9846233230134158,0.014587268098315476,5
123,RBF SVM — PCA 2,rbf,2,100.0,0.1,0.9170964301399085,0.07276407127690077,0.9406593406593406,0.049511561872829964,0.9614035087719298,0.03541137980461413,5
123,RBF SVM — PCA 2,rbf,2,100.0,1.0,0.8965041394183227,0.05509617571484037,0.9252747252747253,0.03594599392043105,0.9257997936016512,0.02567928512141347,5
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.01,none,0.0,0.0,0.6263736263736264,0.0,0.941795665634675,0.04344703627130177,5
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,0.1,none,0.8182496480160552,0.07306351309953418,0.8813186813186814,0.04213250442347434,0.94984520123839,0.041516670012748655,5
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,1.0,none,0.8535201197270161,0.061856326622976715,0.8989010989010989,0.03758820082744412,0.9560371517027864,0.03134520969434376,5
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,10.0,none,0.881521802750951,0.08575707188882707,0.9164835164835164,0.05417036283018129,0.9524251805985552,0.044951503922198176,5
123,"QSVC — PCA 2 / 2Q (reps=1, full)",quantum,2,100.0,none,0.9015295718494747,0.06833004080349386,0.9296703296703296,0.04436621810590408,0.9533539731682147,0.050267373988463745,5
123,Linear SVM — PCA 4,linear,4,0.01,none,0.937349656984382,0.038909038648027534,0.956043956043956,0.025771515163864986,0.9918472652218782,0.009786253157457956,5
123,Linear SVM — PCA 4,linear,4,0.1,none,0.9418640493186242,0.041080205063066866,0.9582417582417582,0.028444349682516062,0.9922600619195047,0.009817491016739163,5
123,Linear SVM — PCA 4,linear,4,1.0,none,0.9459493118821477,0.027641916242768582,0.9604395604395604,0.01996252980723628,0.9922600619195047,0.011108901001863257,5
123,Linear SVM — PCA 4,linear,4,10.0,none,0.9454732317726172,0.042551322062132704,0.9604395604395604,0.02969067271671718,0.9925696594427246,0.01040726706747469,5
123,Linear SVM — PCA 4,linear,4,100.0,none,0.9482061510272756,0.04277949681886479,0.9626373626373625,0.02969067271671718,0.9924664602683178,0.010368821176675643,5
123,RBF SVM — PCA 4,rbf,4,0.01,scale,0.0,0.0,0.6263736263736264,0.0,0.9815273477812176,0.016204242220595768,5
123,RBF SVM — PCA 4,rbf,4,0.01,auto,0.0,0.0,0.6263736263736264,0.0,0.9781217750257998,0.017621844520641358,5
123,RBF SVM — PCA 4,rbf,4,0.01,0.01,0.0,0.0,0.6263736263736264,0.0,0.9829721362229101,0.016321300984452728,5
123,RBF SVM — PCA 4,rbf,4,0.01,0.1,0.0,0.0,0.6263736263736264,0.0,0.9804953560371518,0.01704114939694648,5
123,RBF SVM — PCA 4,rbf,4,0.01,1.0,0.0,0.0,0.6263736263736264,0.0,0.9535603715170279,0.016700260405244863,5
123,RBF SVM — PCA 4,rbf,4,0.1,scale,0.9192307692307693,0.025755952376882447,0.9428571428571428,0.01805678761006044,0.9859649122807017,0.014646468068508516,5
123,RBF SVM — PCA 4,rbf,4,0.1,auto,0.8517175878917268,0.08829367738271829,0.9032967032967033,0.052356612086029014,0.9782249742002064,0.017560545698127407,5
