seed,pca_components,n_qubits,reps,entanglement,accuracy,precision,recall,f1,roc_auc,kernel_backend,statevector_generation_time,kernel_matrix_time,classifier_fit_time,prediction_time,total_runtime,condition_number,min_eigenvalue,max_eigenvalue,trace,effective_rank,offdiag_mean,offdiag_std,offdiag_min,offdiag_max,offdiag_median,offdiag_q25,offdiag_q75
789,2,2,3,linear,0.8333333333333334,0.7948717948717948,0.7380952380952381,0.7654320987654321,0.8981481481481481,exact_statevector_gram,0.4831329000007827,0.0017821000001276843,0.002971300003991928,0.0008659000013722107,0.4887522000062745,2.7787730831886594e+19,-6.435142734676828e-14,248.3721164235514,455.0,5.54690869644641,0.5034649694460848,0.26623467188162725,2.776074429878379e-07,0.9999780451064437,0.5074449478061316,0.28520906589901057,0.7230597417853803
789,2,2,3,full,0.8333333333333334,0.7948717948717948,0.7380952380952381,0.7654320987654321,0.8981481481481481,exact_statevector_gram,0.641437300000689,0.0013507999974535778,0.002119900003890507,0.0011141999930259772,0.646022199995059,2.7787730831886594e+19,-6.435142734676828e-14,248.3721164235514,455.0,5.54690869644641,0.5034649694460848,0.26623467188162725,2.776074429878379e-07,0.9999780451064437,0.5074449478061316,0.28520906589901057,0.7230597417853803
789,4,4,1,linear,0.8157894736842105,0.92,0.5476190476190477,0.6865671641791045,0.8918650793650794,exact_statevector_gram,0.5216809999983525,0.0019955999960075133,0.0040428000065730885,0.0010187000007135794,0.5287381000016467,1.2404692639127087e+20,-4.261033261818035e-15,39.222291825123264,455.0,78.15591516834473,0.07598569441194714,0.11964724019555227,1.4324022995818748e-08,0.9923637442156704,0.03390492673388305,0.010537815785759897,0.0876358297639186
789,4,4,1,full,0.8947368421052632,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9540343915343915,exact_statevector_gram,0.7308610999971279,0.002524800001992844,0.0031725000008009374,0.0007349000006797723,0.7372933000006014,2.6478354015840272e+19,-4.287472040836372e-15,44.939163084236,455.0,104.80226767533655,0.09110109857712465,0.09469003378948905,1.538611466065989e-06,0.9812261653161026,0.06222553584109345,0.024335762675345346,0.12722084464966638
789,4,4,2,linear,0.7631578947368421,0.8260869565217391,0.4523809523809524,0.5846153846153846,0.8366402116402116,exact_statevector_gram,0.8668093000014778,0.0015710000006947666,0.003225299995392561,0.0007578000004286878,0.8723633999979938,1.0260141149548066e+17,-1.6343696716867637e-15,39.519835333775276,455.0,103.46370739787955,0.08025216721583173,0.0989331942126303,1.565479616285056e-07,0.9815516782780728,0.04777320115896322,0.018129218013771035,0.10449614869616974
789,4,4,2,full,0.7456140350877193,0.7241379310344828,0.5,0.5915492957746479,0.7906746031746031,exact_statevector_gram,1.5214074999967124,0.0022944000011193566,0.003122900001471862,0.0009615999952075072,1.5277863999945112,3.867995761307818e+17,-6.813652611592853e-16,39.479993131038015,455.0,127.46226618164171,0.08076486588643404,0.08253844229795759,1.594237310695945e-06,0.9595411379726133,0.05624735339724201,0.023320458463601222,0.11100591893774035
789,4,4,3,linear,0.7807017543859649,0.7428571428571429,0.6190476190476191,0.6753246753246753,0.8485449735449735,exact_statevector_gram,1.2738882000048761,0.0022280999983195215,0.0031887000004644506,0.0008103000000119209,1.280115300003672,8.61293765536693e+17,-2.5988547752246135e-15,48.90911194019243,455.0,99.72790907267162,0.09445133954043022,0.1037187232156606,2.2228884009367135e-07,0.9809915833251882,0.06055352863875746,0.024282145736719624,0.12793402044984045
789,4,4,3,full,0.7192982456140351,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.7642195767195767,exact_statevector_gram,1.9127794000014546,0.0023065999994287267,0.0036678000033134595,0.0008162000012816861,1.9195700000054785,2.2783857204201024e+16,9.486088454784711e-18,38.63913740373074,455.0,138.9058828986943,0.07839893095919492,0.07705166595603638,1.0705317176515743e-06,0.9532023467436128,0.05601890553076898,0.023229932806313986,0.10921801181397521
2026,2,2,1,linear,0.9298245614035088,0.9473684210526315,0.8571428571428571,0.9,0.9619708994708994,exact_statevector_gram,0.24457840000104625,0.002256299994769506,0.0019918999969377182,0.0006681999948341399,0.2494947999875876,5.093925788183689e+19,-4.5997834133145185e-14,154.55208153505873,455.0,7.644102961949965,0.3154176181473804,0.2837420416958258,5.483208098535427e-07,0.9999945596741883,0.2210901342058012,0.08492390032122867,0.4865980049899271
2026,2,2,1,full,0.9298245614035088,0.9473684210526315,0.8571428571428571,0.9,0.9619708994708994,exact_statevector_gram,0.2533871999985422,0.001684800001385156,0.0021829999968758784,0.0007152999969548546,0.2579702999937581,5.093925788183689e+19,-4.5997834133145185e-14,154.55208153505873,455.0,7.644102961949965,0.3154176181473804,0.2837420416958258,5.483208098535427e-07,0.9999945596741883,0.2210901342058012,0.08492390032122867,0.4865980049899271
