seed,pca_components,n_qubits,inner_fold,reps,entanglement,C,n_inner_train,n_inner_validation,kernel_cache_id,kernel_runtime_shared_across_C,inner_accuracy,inner_precision,inner_recall,inner_f1,inner_roc_auc
123,4,4,3,1,full,10.0,364,91,seed=123|dim=4|fold=3|reps=1|ent=full,0.4298105000052601,0.8901098901098901,0.8157894736842105,0.9117647058823529,0.8611111111111112,0.9545923632610939
123,4,4,3,1,full,100.0,364,91,seed=123|dim=4|fold=3|reps=1|ent=full,0.4298105000052601,0.8241758241758241,0.75,0.7941176470588235,0.7714285714285715,0.9148606811145511
123,4,4,3,2,linear,0.01,364,91,seed=123|dim=4|fold=3|reps=2|ent=linear,0.5518430000010994,0.6263736263736264,0.0,0.0,0.0,0.8194014447884417
123,4,4,3,2,linear,0.1,364,91,seed=123|dim=4|fold=3|reps=2|ent=linear,0.5518430000010994,0.6263736263736264,0.0,0.0,0.0,0.8157894736842105
123,4,4,3,2,linear,1.0,364,91,seed=123|dim=4|fold=3|reps=2|ent=linear,0.5518430000010994,0.7472527472527473,0.7391304347826086,0.5,0.5964912280701754,0.8111455108359134
123,4,4,3,2,linear,10.0,364,91,seed=123|dim=4|fold=3|reps=2|ent=linear,0.5518430000010994,0.7142857142857143,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.7543859649122807
123,4,4,3,2,linear,100.0,364,91,seed=123|dim=4|fold=3|reps=2|ent=linear,0.5518430000010994,0.7362637362637363,0.6388888888888888,0.6764705882352942,0.6571428571428571,0.7837977296181631
123,4,4,3,2,full,0.01,364,91,seed=123|dim=4|fold=3|reps=2|ent=full,0.8073306000005687,0.6263736263736264,0.0,0.0,0.0,0.8245614035087719
123,4,4,3,2,full,0.1,364,91,seed=123|dim=4|fold=3|reps=2|ent=full,0.8073306000005687,0.6263736263736264,0.0,0.0,0.0,0.825593395252838
123,4,4,3,2,full,1.0,364,91,seed=123|dim=4|fold=3|reps=2|ent=full,0.8073306000005687,0.7252747252747253,0.6285714285714286,0.6470588235294118,0.6376811594202898,0.826109391124871
123,4,4,3,2,full,10.0,364,91,seed=123|dim=4|fold=3|reps=2|ent=full,0.8073306000005687,0.7692307692307693,0.6756756756756757,0.7352941176470589,0.704225352112676,0.7868937048503611
123,4,4,3,2,full,100.0,364,91,seed=123|dim=4|fold=3|reps=2|ent=full,0.8073306000005687,0.6483516483516484,0.5277777777777778,0.5588235294117647,0.5428571428571428,0.7425180598555212
123,4,4,3,3,linear,0.01,364,91,seed=123|dim=4|fold=3|reps=3|ent=linear,0.7869950999956927,0.6263736263736264,0.0,0.0,0.0,0.8286893704850361
123,4,4,3,3,linear,0.1,364,91,seed=123|dim=4|fold=3|reps=3|ent=linear,0.7869950999956927,0.6263736263736264,0.0,0.0,0.0,0.8281733746130031
123,4,4,3,3,linear,1.0,364,91,seed=123|dim=4|fold=3|reps=3|ent=linear,0.7869950999956927,0.7472527472527473,0.7037037037037037,0.5588235294117647,0.6229508196721312,0.8348813209494323
123,4,4,3,3,linear,10.0,364,91,seed=123|dim=4|fold=3|reps=3|ent=linear,0.7869950999956927,0.7252747252747253,0.6216216216216216,0.6764705882352942,0.647887323943662,0.7708978328173374
123,4,4,3,3,linear,100.0,364,91,seed=123|dim=4|fold=3|reps=3|ent=linear,0.7869950999956927,0.7362637362637363,0.65625,0.6176470588235294,0.6363636363636364,0.7507739938080495
123,4,4,3,3,full,0.01,364,91,seed=123|dim=4|fold=3|reps=3|ent=full,1.1750574999969103,0.6263736263736264,0.0,0.0,0.0,0.8276573787409701
123,4,4,3,3,full,0.1,364,91,seed=123|dim=4|fold=3|reps=3|ent=full,1.1750574999969103,0.6263736263736264,0.0,0.0,0.0,0.8281733746130031
123,4,4,3,3,full,1.0,364,91,seed=123|dim=4|fold=3|reps=3|ent=full,1.1750574999969103,0.7582417582417582,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.8095975232198143
123,4,4,3,3,full,10.0,364,91,seed=123|dim=4|fold=3|reps=3|ent=full,1.1750574999969103,0.6703296703296703,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.7167182662538699
123,4,4,3,3,full,100.0,364,91,seed=123|dim=4|fold=3|reps=3|ent=full,1.1750574999969103,0.6593406593406593,0.5384615384615384,0.6176470588235294,0.5753424657534246,0.6976264189886482
123,4,4,4,1,linear,0.01,364,91,seed=123|dim=4|fold=4|reps=1|ent=linear,0.30606389999593375,0.6263736263736264,0.0,0.0,0.0,0.849329205366357
123,4,4,4,1,linear,0.1,364,91,seed=123|dim=4|fold=4|reps=1|ent=linear,0.30606389999593375,0.7252747252747253,0.9090909090909091,0.29411764705882354,0.4444444444444444,0.8482972136222909
123,4,4,4,1,linear,1.0,364,91,seed=123|dim=4|fold=4|reps=1|ent=linear,0.30606389999593375,0.8131868131868132,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.8503611971104231
123,4,4,4,1,linear,10.0,364,91,seed=123|dim=4|fold=4|reps=1|ent=linear,0.30606389999593375,0.8021978021978022,0.75,0.7058823529411765,0.7272727272727273,0.846749226006192
123,4,4,4,1,linear,100.0,364,91,seed=123|dim=4|fold=4|reps=1|ent=linear,0.30606389999593375,0.7692307692307693,0.6857142857142857,0.7058823529411765,0.6956521739130435,0.8235294117647058
123,4,4,4,1,full,0.01,364,91,seed=123|dim=4|fold=4|reps=1|ent=full,0.43488800000341143,0.6263736263736264,0.0,0.0,0.0,0.934468524251806
123,4,4,4,1,full,0.1,364,91,seed=123|dim=4|fold=4|reps=1|ent=full,0.43488800000341143,0.6923076923076923,1.0,0.17647058823529413,0.3,0.9339525283797729
123,4,4,4,1,full,1.0,364,91,seed=123|dim=4|fold=4|reps=1|ent=full,0.43488800000341143,0.8681318681318682,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9308565531475748
123,4,4,4,1,full,10.0,364,91,seed=123|dim=4|fold=4|reps=1|ent=full,0.43488800000341143,0.8351648351648352,0.7714285714285715,0.7941176470588235,0.782608695652174,0.8931888544891641
123,4,4,4,1,full,100.0,364,91,seed=123|dim=4|fold=4|reps=1|ent=full,0.43488800000341143,0.8241758241758241,0.75,0.7941176470588235,0.7714285714285715,0.8555211558307534
123,4,4,4,2,linear,0.01,364,91,seed=123|dim=4|fold=4|reps=2|ent=linear,0.5444573999993736,0.6263736263736264,0.0,0.0,0.0,0.8235294117647058
123,4,4,4,2,linear,0.1,364,91,seed=123|dim=4|fold=4|reps=2|ent=linear,0.5444573999993736,0.6263736263736264,0.0,0.0,0.0,0.8224974200206399
123,4,4,4,2,linear,1.0,364,91,seed=123|dim=4|fold=4|reps=2|ent=linear,0.5444573999993736,0.7032967032967034,0.6206896551724138,0.5294117647058824,0.5714285714285714,0.8178534571723426
123,4,4,4,2,linear,10.0,364,91,seed=123|dim=4|fold=4|reps=2|ent=linear,0.5444573999993736,0.6923076923076923,0.59375,0.5588235294117647,0.5757575757575758,0.762641898864809
123,4,4,4,2,linear,100.0,364,91,seed=123|dim=4|fold=4|reps=2|ent=linear,0.5444573999993736,0.7032967032967034,0.5945945945945946,0.6470588235294118,0.6197183098591549,0.7471620227038184
123,4,4,4,2,full,0.01,364,91,seed=123|dim=4|fold=4|reps=2|ent=full,0.8013553999990108,0.6263736263736264,0.0,0.0,0.0,0.8410732714138287
123,4,4,4,2,full,0.1,364,91,seed=123|dim=4|fold=4|reps=2|ent=full,0.8013553999990108,0.6263736263736264,0.0,0.0,0.0,0.8426212590299278
123,4,4,4,2,full,1.0,364,91,seed=123|dim=4|fold=4|reps=2|ent=full,0.8013553999990108,0.7252747252747253,0.7142857142857143,0.4411764705882353,0.5454545454545454,0.8168214654282766
123,4,4,4,2,full,10.0,364,91,seed=123|dim=4|fold=4|reps=2|ent=full,0.8013553999990108,0.8021978021978022,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.8286893704850361
123,4,4,4,2,full,100.0,364,91,seed=123|dim=4|fold=4|reps=2|ent=full,0.8013553999990108,0.7912087912087912,0.7027027027027027,0.7647058823529411,0.7323943661971831,0.848297213622291
123,4,4,4,3,linear,0.01,364,91,seed=123|dim=4|fold=4|reps=3|ent=linear,0.796617599997262,0.6263736263736264,0.0,0.0,0.0,0.8735810113519091
123,4,4,4,3,linear,0.1,364,91,seed=123|dim=4|fold=4|reps=3|ent=linear,0.796617599997262,0.6263736263736264,0.0,0.0,0.0,0.871517027863777
123,4,4,4,3,linear,1.0,364,91,seed=123|dim=4|fold=4|reps=3|ent=linear,0.796617599997262,0.8021978021978022,0.7666666666666667,0.6764705882352942,0.71875,0.8823529411764706
123,4,4,4,3,linear,10.0,364,91,seed=123|dim=4|fold=4|reps=3|ent=linear,0.796617599997262,0.7692307692307693,0.6666666666666666,0.7647058823529411,0.7123287671232876,0.8679050567595459
123,4,4,4,3,linear,100.0,364,91,seed=123|dim=4|fold=4|reps=3|ent=linear,0.796617599997262,0.7472527472527473,0.627906976744186,0.7941176470588235,0.7012987012987013,0.8405572755417957
123,4,4,4,3,full,0.01,364,91,seed=123|dim=4|fold=4|reps=3|ent=full,1.1647864999977173,0.6263736263736264,0.0,0.0,0.0,0.6331269349845202
123,4,4,4,3,full,0.1,364,91,seed=123|dim=4|fold=4|reps=3|ent=full,1.1647864999977173,0.6263736263736264,0.0,0.0,0.0,0.6326109391124871
123,4,4,4,3,full,1.0,364,91,seed=123|dim=4|fold=4|reps=3|ent=full,1.1647864999977173,0.6703296703296703,0.625,0.29411764705882354,0.4,0.6429308565531476
123,4,4,4,3,full,10.0,364,91,seed=123|dim=4|fold=4|reps=3|ent=full,1.1647864999977173,0.6483516483516484,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.6455108359133127
123,4,4,4,3,full,100.0,364,91,seed=123|dim=4|fold=4|reps=3|ent=full,1.1647864999977173,0.6153846153846154,0.4864864864864865,0.5294117647058824,0.5070422535211268,0.6496388028895769
123,4,4,5,1,linear,0.01,364,91,seed=123|dim=4|fold=5|reps=1|ent=linear,0.30511149999802,0.6263736263736264,0.0,0.0,0.0,0.9385964912280702
123,4,4,5,1,linear,0.1,364,91,seed=123|dim=4|fold=5|reps=1|ent=linear,0.30511149999802,0.7032967032967034,1.0,0.20588235294117646,0.34146341463414637,0.9391124871001031
123,4,4,5,1,linear,1.0,364,91,seed=123|dim=4|fold=5|reps=1|ent=linear,0.30511149999802,0.8571428571428571,0.92,0.6764705882352942,0.7796610169491526,0.9484004127966976
123,4,4,5,1,linear,10.0,364,91,seed=123|dim=4|fold=5|reps=1|ent=linear,0.30511149999802,0.8571428571428571,0.8181818181818182,0.7941176470588235,0.8059701492537313,0.9024767801857585
123,4,4,5,1,linear,100.0,364,91,seed=123|dim=4|fold=5|reps=1|ent=linear,0.30511149999802,0.8351648351648352,0.8275862068965517,0.7058823529411765,0.7619047619047619,0.8937048503611972
123,4,4,5,1,full,0.01,364,91,seed=123|dim=4|fold=5|reps=1|ent=full,0.42986289999680594,0.6263736263736264,0.0,0.0,0.0,0.9690402476780186
123,4,4,5,1,full,0.1,364,91,seed=123|dim=4|fold=5|reps=1|ent=full,0.42986289999680594,0.6813186813186813,0.8571428571428571,0.17647058823529413,0.2926829268292683,0.9695562435500515
123,4,4,5,1,full,1.0,364,91,seed=123|dim=4|fold=5|reps=1|ent=full,0.42986289999680594,0.8901098901098901,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.954592363261094
123,4,4,5,1,full,10.0,364,91,seed=123|dim=4|fold=5|reps=1|ent=full,0.42986289999680594,0.8791208791208791,0.9259259259259259,0.7352941176470589,0.819672131147541,0.9102167182662538
